symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
ORIENTTECH,-10.949999999999989,-2.194608678224269,488,67313,NEUTRAL,2025-01-01 09:29:56.051247,BUY,1353,0.09
OCCLLTD,-2.3000000000000114,-2.109898174479416,106.71,31775,NEUTRAL,2025-01-01 09:29:54.807253,BUY,730,0.27
MONARCH,-6.0,-1.3489208633093526,438.8,11924,NEUTRAL,2025-01-01 09:29:48.989985,BUY,-106,2.19
PRICOLLTD,-6.9500000000000455,-1.2630622444343562,543.3,12072,NEUTRAL,2025-01-01 09:29:59.622233,SELL,267,0.36
DHANBANK,-0.370000000000001,-1.1858974358974392,30.83,1969,NEUTRAL,2025-01-01 09:29:10.338732,SELL,,
SDL26BEES,-1.1299999999999955,-0.8899740096085653,125.84,2,SELL,2025-01-01 09:30:09.413633,STRONG_SELL,-9398,8.22
INTELLECT,-8.899999999999977,-0.8874264632565538,994,267587,NEUTRAL,2025-01-01 09:29:31.815487,BUY,5123,0.08
REMSONSIND,-1.210000000000008,-0.8230172765610175,145.81,1319,NEUTRAL,2025-01-01 09:30:03.564662,SELL,200,0.19
SHAREINDIA,-2.5,-0.819000819000819,302.75,59881,NEUTRAL,2025-01-01 09:30:10.957816,SELL,2391,0.16
MARINE,-2,-0.7692307692307693,258,13650,NEUTRAL,2025-01-01 09:29:45.228584,STRONG_SELL,,
DSSL,-10.649999999999864,-0.7376112477057772,1433.2,9653,SELL,2025-01-01 09:29:11.830860,BUY,10,0.71
RPPINFRA,-1.4000000000000057,-0.703871292106589,197.5,607,NEUTRAL,2025-01-01 09:30:05.103307,BUY,,
CRISIL,-41.75,-0.6447428364051919,6433.7,4492,NEUTRAL,2025-01-01 09:29:07.711119,BUY,14,0.3
VENUSREM,-1.8999999999999773,-0.5909797822705996,319.6,694,NEUTRAL,2025-01-01 09:30:25.902826,SELL,92,0.35
SILVERADD,-0.480000000000004,-0.565437625161979,84.41,11241,NEUTRAL,2025-01-01 09:30:12.056881,BUY,16413,0.07
BIRLAMONEY,-1.5,-0.5597014925373134,266.5,524,SELL,2025-01-01 09:29:02.244522,STRONG_SELL,,
MANKIND,-15.550000000000182,-0.533997252747259,2896.45,4844,NEUTRAL,2025-01-01 09:29:44.694536,BUY,-47,2.15
BHAGCHEM,-1.6000000000000227,-0.5322687957418571,299,4437,SELL,2025-01-01 09:29:01.522269,STRONG_SELL,-16,1.12
AVANTIFEED,-3.2999999999999545,-0.49575602794260565,662.35,109867,NEUTRAL,2025-01-01 09:28:58.333031,NEUTRAL,1452,0.08
symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
INTELLECT,-15.350000000000023,-1.5458207452165178,977.65,66882,NEUTRAL,2025-01-01 09:31:22.201136,BUY,2,0.99
UCAL,-2.8499999999999943,-1.4049790485580451,200,150,NEUTRAL,2025-01-01 09:32:11.742715,BUY,,
TRIGYN,-1.4500000000000028,-1.2446351931330497,115.05,1598,NEUTRAL,2025-01-01 09:32:11.080812,BUY,-449,1.3
SFL,-9.699999999999932,-0.9576463619310822,1003.2,1059,NEUTRAL,2025-01-01 09:31:58.557859,BUY,-29,3.9
KFINTECH,-13.849999999999909,-0.8743686868686811,1570.15,19976,NEUTRAL,2025-01-01 09:31:27.905734,BUY,-59,1.4
REMSONSIND,-1.2700000000000102,-0.8638280506053667,145.75,1819,NEUTRAL,2025-01-01 09:31:52.790843,SELL,-26,1.25
TBZ,-1.9199999999999875,-0.8050314465408752,236.58,2763,SELL,2025-01-01 09:32:07.724002,STRONG_SELL,61,0.68
PSPPROJECT,-5.050000000000068,-0.7560446141178333,662.9,5130,NEUTRAL,2025-01-01 09:31:49.974409,BUY,155,0.26
CLSEL,-3.25,-0.7466973004020678,432,5925,NEUTRAL,2025-01-01 09:30:57.577207,BUY,62,0.65
NAHARSPING,-2.0499999999999545,-0.7464045148370488,272.6,502,NEUTRAL,2025-01-01 09:31:40.066736,BUY,17,0.75
GIPCL,-1.6799999999999784,-0.7210919392222416,231.3,8071,SELL,2025-01-01 09:31:09.842998,BUY,114,0.13
STYLAMIND,-15.050000000000182,-0.6592058868618813,2268,539,NEUTRAL,2025-01-01 09:32:04.000539,BUY,39,0.13
SUVENPHAR,-6.900000000000091,-0.6278720596933519,1092.05,7729,NEUTRAL,2025-01-01 09:32:05.441004,SELL,646,0.09
VENUSREM,-1.8999999999999773,-0.5909797822705996,319.6,694,NEUTRAL,2025-01-01 09:32:14.744335,SELL,87,0.4
PREMIERENE,-7.900000000000091,-0.5720906655080086,1373,14949,NEUTRAL,2025-01-01 09:31:49.438216,BUY,-73,1.74
SJVN,-0.6000000000000085,-0.550408219429418,108.41,636608,SELL,2025-01-01 09:32:01.105830,BUY,-9448,7.68
WABAG,-9.100000000000136,-0.5473848837559107,1653.35,4085,NEUTRAL,2025-01-01 09:32:16.430707,BUY,868,0.05
ZENTEC,-13.400000000000091,-0.5385202748864724,2474.9,6540,NEUTRAL,2025-01-01 09:32:18.425320,BUY,20,0.75
BHAGCHEM,-1.6000000000000227,-0.5322687957418571,299,4457,SELL,2025-01-01 09:30:52.517026,STRONG_SELL,39,0.72
RITES,-1.5,-0.5078720162519045,293.85,109821,BUY,2025-01-01 09:31:53.536685,BUY,1197,0.63
symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
TRIGYN,-2.1599999999999966,-1.8540772532188812,114.34,8154,SELL,2025-01-01 09:33:59.575009,BUY,-308,3.48
CLEAN,-26,-1.736806947227789,1471,39317,NEUTRAL,2025-01-01 09:32:46.067394,BUY,11,0.77
INTELLECT,-17,-1.7119838872104733,976,148182,NEUTRAL,2025-01-01 09:33:09.760706,BUY,223,0.61
KUANTUM,-2.049999999999983,-1.5190811411633813,132.9,10666,NEUTRAL,2025-01-01 09:33:18.792448,BUY,-70,1.2
UCAL,-2.8499999999999943,-1.4049790485580451,200,150,NEUTRAL,2025-01-01 09:34:00.315150,BUY,,
JAYSREETEA,-1.8000000000000114,-1.3503375843961074,131.5,3817,NEUTRAL,2025-01-01 09:33:12.450885,BUY,-6997,53.22
KFINTECH,-21,-1.3257575757575757,1563,41598,NEUTRAL,2025-01-01 09:33:16.126174,BUY,41,0.68
GIPCL,-2.9799999999999898,-1.2790797493347024,230,10802,NEUTRAL,2025-01-01 09:32:57.950851,BUY,22,0.85
SFL,-11.949999999999932,-1.179780827327469,1000.95,4749,NEUTRAL,2025-01-01 09:33:47.136183,BUY,150,0.17
SHIVAMAUTO,-0.5300000000000011,-1.1461937716263,45.71,664,NEUTRAL,2025-01-01 09:33:47.795492,STRONG_SELL,705,0.19
EIHAHOTELS,-4.850000000000023,-1.1415793809579906,420,2652,SELL,2025-01-01 09:32:52.441463,BUY,90,0.43
STARCEMENT,-2.509999999999991,-1.0818499202620537,229.5,59573,SELL,2025-01-01 09:33:51.762036,STRONG_SELL,69,0.61
STYLAMIND,-23.050000000000182,-1.009614331705402,2260,1638,NEUTRAL,2025-01-01 09:33:52.378449,BUY,2,0.89
BBTC,-22.0,-1.0001591162230354,2177.65,6000,NEUTRAL,2025-01-01 09:32:40.191291,BUY,42,0.36
ORIENTPPR,-0.36999999999999744,-0.982474774296329,37.29,11280,NEUTRAL,2025-01-01 09:33:34.255979,BUY,-1001,1.52
UTIAMC,-13.100000000000136,-0.9666826550566459,1342.05,1011,NEUTRAL,2025-01-01 09:34:01.670004,NEUTRAL,-43,3.87
ZEELEARN,-0.0799999999999983,-0.9650180940892437,8.21,61049,NEUTRAL,2025-01-01 09:34:07.632090,SELL,-41557,5.51
SCHNEIDER,-7.300000000000068,-0.934459805427556,773.9,12500,SELL,2025-01-01 09:33:46.126729,BUY,-57,4.56
RPPINFRA,-1.8000000000000114,-0.9054325955734462,197,1428,NEUTRAL,2025-01-01 09:33:42.820781,BUY,,
SAPPHIRE,-3.0500000000000114,-0.8941659337437735,338.05,10321,SELL,2025-01-01 09:33:44.915947,BUY,129,0.71
